Name_ZH,Name_EN,Title_ZH,Title_EN,Company_ZH,Company_EN,Biography_ZH,Biography_EN,Interview1_ZH,Interview1_EN,Interview2_ZH,Interview2_EN,Interview3_ZH,Interview3_EN,Interview4_ZH,Interview4_EN,ImageURL,LocalImage
His Excellency Omar Sultan Al Olama,His Excellency Omar Sultan Al Olama,"Minister of State for Artificial Intelligence, Digital Economy, and Remote Work Applications","Minister of State for Artificial Intelligence, Digital Economy, and Remote Work Applications",United Arab Emirates,United Arab Emirates,暂无中文介绍（可在 CSV 中补充）,"His Excellency Omar Sultan Al Olama，您在United Arab Emirates担任Minister of State for Artificial Intelligence, Digital Economy, and Remote Work Applications期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？","As the Minister of State for Artificial Intelligence, Digital Economy, and Remote Work Applications at United Arab Emirates, which recent project or strategy best captures your current focus, and what insights can you share from it?",,,,,,面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/0e91a0b7f1f6484eb5b2899a653d0de9!_!e66ee61a91face7bd41bbb6f6a784b24.png?f=webp,avatars/his-excellency-omar-sultan-al-olama.png
何一,Yi He,Co-Founder & Chief Customer Service Officer,Co-Founder & Chief Customer Service Officer,Binance,Binance,何一是币安联合创始人，自 2017 年币安上线以来一直主导公司的整体业务与品牌战略，将其在短短六个月内发展为全球最大的加密货币交易所之一，并推动平台从单一加密货币现货撮合，转型为覆盖区块链生态各版块的全球化业务矩阵。 在此之前，她曾担任移动视频科技公司一下科技副总裁，负责品牌与市场运营，并主导募资相关工作，帮助公司估值提升至超过 30 亿美元；更早在 2014–2015 年间，她也是数字资产交易平台 OKCoin 的联合创始人之一，在其任内，OKCoin 在中国市场份额在熊市环境下仍提升约 60%，成为当时亚洲主流数字资产交易所之一。 她长期致力于在加密行业推动透明度、社区赋能与经济自由理念，并通过在多家加密公司担任高管，带动更多女性进入高层管理岗位，在男性占主导的科技与加密行业中树立了女性领导者的信任与示范。,"Yi He is the Co-Founder of Binance. Since Binance's launch in 2017, Yi has led the business strategy, which saw the company successfully become the world’s largest crypto exchange within the span of six months. Yi also pivoted the company to a global blockchain ecosystem from just a crypto-to-crypto trading platform. Before co-founding Binance, Yi served as Vice President at Yixia Technology, the leading mobile video tech company behind popular mobile apps like Miaopai, Xiaokaxiu and Yizhibo, where she led branding strategy and marketing operations and was a fundamental part of the fundraising strategy that drove the firm’s valuation to USD$3+ billion. Yi was also co-founder of the digital asset exchange OKCoin between 2014 and 2015. Under her leadership at OKCoin, the company’s market share in China increased by 60% during a bear market to become the dominant digital asset exchange in Asia. Yi is passionate about providing transparency and empowering communities in the cryptocurrency industry and championing economic freedom. Throughout her successful leadership in crypto companies, Yi helped to create a trend of hiring female executives in the male-dominant tech industry and gained the crypto market’s trust in women leaders.",Yi He，您在Binance担任Co-Founder & Chief Customer Service Officer期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Co-Founder & Chief Customer Service Officer at Binance, which recent project or strategy best captures your current focus, and what insights can you share from it?",过去几年，币安从单一交易平台升级为多链、多业务的全球生态，你在推动这一转型时，哪一次“踩坑”经历最让你印象深刻？它如何改变了你对用户与产品迭代的思考方式？,"In recent years, Binance has evolved from a single exchange into a multi‑chain, multi‑product global ecosystem. What was the most memorable “mistake” or setback during this transition, and how did it change the way you think about users and product iteration?",作为在行业内最早推动女性高管进入加密公司决策层的人之一，你认为 2025 年想进入 Web3 的年轻女性和中国职场女性，最应该培养的三项具体能力是什么？,"As one of the earliest leaders pushing for more female executives in crypto, what are the three most concrete skills young women and Chinese professionals should build if they want to break into Web3 leadership in 2025?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/e9b7424fed1243829cb6e8ab28ab5769!_!5f9d97ef2c0b0ab9a8022e6840370db1.png?f=webp,avatars/yi-he.png
Richard Teng,Richard Teng,CEO,CEO,Binance,Binance,Richard Teng 拥有逾 30 年金融服务及监管领域经验，自 2023 年 11 月起出任币安首席执行官，通过与监管机构、政策制定者、行业参与者及用户等多方紧密合作，推动币安在合规与可持续框架下持续发展。 在此之前，他自 2021 年 8 月加入币安，相继负责新加坡业务以及中东、欧洲等区域市场，并出任全球区域市场负责人；在加入币安前，曾担任阿布扎比国际金融中心（ADGM）金融服务监管局首席执行官、新加坡交易所首席监管官以及新加坡金融管理局公司融资部主任等职务。 他取得西澳大学应用金融硕士学位，并在监管与市场建设方面被视为全球较具创新精神的监管人士之一。,"Richard Teng is an experienced executive with over three decades of financial services and regulatory experience. Richard has been the CEO of Binance since his appointment in November 2023. By working closely with various stakeholders including regulators, policymakers, industry players and users, Richard is furthering the growth of Binance in a compliant and sustainable manner. Prior to this role, Richard held various senior leadership roles within the company since joining in August 2021. Before joining Binance, Richard was CEO of the Financial Services Regulatory Authority at Abu Dhabi Global Market (ADGM), where he showcased his capabilities as one of the world’s foremost innovative regulators. Richard’s vast experience also includes being the Chief Regulatory Officer of the Singapore Exchange (SGX) and the Director of Corporate Finance in the Monetary Authority of Singapore. Richard received his Masters in Applied Finance from the University of Western Australia.",Richard Teng，您在Binance担任CEO期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the CEO at Binance, which recent project or strategy best captures your current focus, and what insights can you share from it?",你在多国监管体系中都担任过关键角色，如今站在交易所一侧，你觉得“好监管”和“好创新”之间真正的平衡点在哪里？有没有一个你亲自参与的案例可以分享？,"Having served in key roles across multiple regulatory regimes and now leading an exchange, where do you see the real balance between “good regulation” and “good innovation,” and can you share a case where you personally helped strike that balance?",2025 年全球合规版图变化很快，你如何判断一个新市场是否值得 Binance 重点投入？在你自己的评估模型中，最重要的三项指标是什么？,"With the global compliance landscape shifting rapidly in 2025, how do you decide whether a new jurisdiction is worth major Binance investment, and what are the top three indicators in your own evaluation framework?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/2bb32b03f1c54cf58d133b4ca31a6c09!_!c0d7b3f99f93bdbc214809e0514f0af2.png?f=webp,avatars/richard-teng.png
Pierre Gasly,Pierre Gasly,BWT Alpine Formula One Team Driver,BWT Alpine Formula One Team Driver,,,暂无中文介绍（可在 CSV 中补充）,,Pierre Gasly，您在贵团队担任BWT Alpine Formula One Team Driver期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the BWT Alpine Formula One Team Driver at your team, which recent project or strategy best captures your current focus, and what insights can you share from it?",作为 F1 车手，你亲身感受过极限速度与实时决策。如果把一场大奖赛比作一次高波动市场行情，你会如何向普通投资者解释“何时该冒险，何时该收油门”？,"As an F1 driver, you live with extreme speed and real‑time decision‑making. If a Grand Prix were a high‑volatility market move, how would you explain to everyday investors “when to push and when to ease off the throttle”?",越来越多车队和车手开始尝试 NFT、粉丝代币等新工具，你个人会如何想象一场完全数字化、链上可验证的 F1 粉丝体验？其中最需要被解决的一项现实问题是什么？,"As more teams and drivers experiment with NFTs and fan tokens, how do you personally imagine a fully digital, on‑chain verifiable F1 fan experience, and what is the single biggest real‑world problem that must be solved to get there?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/0e55653ba6e048429f22823dac7f9ae9!_!9eb3b44f4d48e95721c13a22426acdda.png?f=webp,avatars/pierre-gasly.png
Michael Saylor,Michael Saylor,Founder & Executive Chairman,Founder & Executive Chairman,Strategy,Strategy,"Michael Saylor 是 Strategy（股票代码：MSTR）的创始人兼执行董事长，这是一家成立于 1989 年的上市商业智能公司，同时也是持有 649,870 枚（且仍在增加）比特币 
 的机构之一。Michael 也是 Alarm.com（股票代码：ALRM）的创始人，拥有 48 项以上专利发明，并著有《The Mobile Wave》一书。他创立了非营利组织 Saylor Academy（saylor.org），已为超过 200 万名学生提供免费教育。他积极倡导“比特币标准”（hope.com），并拥有麻省理工学院授予的航空航天工程和科学史双学位。他在 X 平台上以 @saylor 账号发表观点，并运营个人网站 Michael.com；他与 Lex Fridman 时长约 4 小时的访谈视频，系统阐述了其对比特币、通胀及货币未来的看法，在 YouTube 上已有约 1100 万次观看。","Michael Saylor is the Founder & Executive Chairman of Strategy (MSTR), a publicly traded business intelligence firm & holder of ₿649,870 (and counting) that he founded in 1989. He is also the founder of Alarm.com (ALRM), named inventor on 48+ patents, & author of the book “The Mobile Wave”. He founded the Saylor Academy (saylor.org), a non-profit that has provided free education to over 2 million students. He is an advocate for the Bitcoin Standard (hope.com) with dual degrees from MIT in Aerospace Engineering & History of Science. He posts his views on X @saylor and his website Michael.com. His 4 hour interview with Lex Fridman summarizes his thoughts on Bitcoin, Inflation, and the Future of Money with ~11 million views on YouTube.",Michael Saylor，您在Strategy担任Founder & Executive Chairman期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Founder & Executive Chairman at Strategy, which recent project or strategy best captures your current focus, and what insights can you share from it?",过去几年你多次在宏观高利率环境下继续买入 Bitcoin，你内部用来判断“继续加仓还是保持耐心”的那套宏观与链上信号，可以向我们拆解一两个关键变量吗？,"Over the past few years you kept buying Bitcoin even in a high‑rate macro environment. In your internal framework for deciding whether to keep accumulating or stay patient, can you walk us through one or two of the key macro or on‑chain variables you watch most closely?",你曾写过关于“移动浪潮”，现在又成为“比特币标准”的代表人物。如果把这两次技术范式迁移放在一条时间轴上，你认为普通人和机构在这一次迁移中最容易犯的战略性错误是什么？,"You once wrote about “The Mobile Wave” and are now a leading voice for the Bitcoin Standard. If you place these two paradigm shifts on a single timeline, what is the most common strategic mistake you see individuals and institutions making in this current transition?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/135b2e529e1e4b46a34f2dc2a31dcd99!_!ef975a4be236824f77dba255bfcaa2cf.png?f=webp,avatars/michael-saylor.png
Brad Garlinghouse,Brad Garlinghouse,CEO,CEO,Ripple,Ripple,Brad 现任 Ripple 首席执行官并担任公司董事会成员。在加入 Ripple 之前，他曾担任文件协作服务公司 Hightail 的首席执行官。2009 至 2012 年间，他在 AOL 出任消费者应用事业总裁，在此之前自 2003 至 2008 年在 Yahoo! 担任多个高管职位，包括高级副总裁。其职业生涯早期，Brad 曾担任 Dialpad Communications 的首席执行官，推动了 VoIP 行业的早期发展。他还曾在多家公司担任董事会职务，包括 Ancestry.com 和 Tonic Health（后被 R1 RCM 收购）。,"Brad is the CEO of Ripple and a member of the Board of Directors. Prior to Ripple, Brad served as the CEO of file collaboration service Hightail. From 2009 to 2012 he was President of Consumer Applications at AOL and prior to that he held various executive positions at Yahoo! from 2003 to 2008, including Senior Vice President. Earlier in his career, Brad helped to pioneer the VoIP industry as CEO of Dialpad Communications. He has previously held several board positions at companies including Ancestry.com and Tonic Health (acquired by R1 RCM).",Brad Garlinghouse，您在Ripple担任CEO期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the CEO at Ripple, which recent project or strategy best captures your current focus, and what insights can you share from it?",过去几年，你在多国法院和监管机构前为 Ripple 和行业发声。回望这段历程，你认为哪些误解在 2025 年已经被澄清，哪些误解依然顽固存在？,"In recent years you have defended Ripple and the industry in courts and with regulators around the world. Looking back, which misconceptions do you think have finally been cleared up by 2025, and which stubborn misconceptions still persist?",你经常谈到跨境支付的“真正痛点”。如果让你从企业客户的一封真实邮件或电话记录中抽取一句话，哪一句最能代表他们对加密和区块链解决方案的核心诉求？,"You often talk about the “real pain points” in cross‑border payments. If you had to quote a single line from an actual enterprise client email or call, what sentence best captures their core demand for crypto and blockchain solutions?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/af9c7930ec284c16a21f2b526ab47f47!_!e05794b517ce9e98a0f7b1c87f22e367.png?f=webp,avatars/brad-garlinghouse.png
Raoul Pal,Raoul Pal,Co-Founder & CEO,Co-Founder & CEO,Real Vision,Real Vision,"Raoul 是 Real Vision Group 的联合创始人兼首席执行官，该公司是全球领先的金融知识与媒体平台之一。此外，他出版发行独立宏观投资策略研究服务《Global Macro Investor》，并担任数字资产对冲基金母基金 EXPAAM 的联合创始人兼首席执行官。此前，Raoul 曾在 Goldman Sachs 
 工作，后来在 GLG Partners 负责并管理全球宏观对冲基金业务。他目前居住在开曼群岛。","Raoul is the Co-Founder and CEO of Real Vision Group, one of the world’s leading financial knowledge and media platforms. Additionally, he publishes the Global Macro Investor, a renowned independent macro investment strategy service and is the Co-Founder/CEO of EXPAAM, a Fund of Digital Asset Hedge Funds. Formerly Raoul worked for Goldman Sachs and later ran the global macro hedge fund for GLG Partners. He lives in the Cayman Islands.",Raoul Pal，您在Real Vision担任Co-Founder & CEO期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Co-Founder & CEO at Real Vision, which recent project or strategy best captures your current focus, and what insights can you share from it?",你长期在 Global Macro Investor 跟踪债券、股市与加密的联动。站在 2025 年这个时点，你最担心的一个“被低估的宏观风险”是什么？它会如何意外影响加密市场？,"You’ve long tracked the interplay between bonds, equities, and crypto in Global Macro Investor. As of 2025, what is the most “under‑priced macro risk” on your radar, and how could it unexpectedly spill over into crypto markets?",Real Vision 的内容覆盖面越来越广，如果你只能为刚进入 Web3 的传统金融从业者设计一条“学习路径”，你会推荐他们按怎样的顺序去理解宏观、技术与链上数据？,"As Real Vision’s content universe expands, if you could design a single “learning path” for a TradFi professional new to Web3, in what order should they get to grips with macro, technology, and on‑chain data?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/efc906aaf0ff462abd7027dcbac9c05e!_!fb44b6cf4476ab8f5006b616fb0557d6.png?f=webp,avatars/raoul-pal.png
CZ ​,CZ ​,Founder & Co-Founder,Founder & Co-Founder,Giggle Academy & Binance,Giggle Academy & Binance,暂无中文介绍（可在 CSV 中补充）,,CZ ​，您在Giggle Academy & Binance担任Founder & Co-Founder期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Founder & Co-Founder at Giggle Academy & Binance, which recent project or strategy best captures your current focus, and what insights can you share from it?",如果把你在币安和 Web3 里的第一阶段看作“从 0 到 1”，你现在正在投入的项目中，哪一项更像是“从 1 到 N”的长期基础设施？它解决的核心痛点是什么？,"If your first phase at Binance and in Web3 was “zero to one,” among the projects you are focusing on now, which one feels most like “one to many” long‑term infrastructure, and what core pain point is it solving?",你经常提到“简单”是好产品的最高境界。站在 2025 年，如果要你给年轻创业者三条完全不谈估值、只谈“如何把产品做简单”的建议，你会说什么？,"You often say that true product excellence is about simplicity. From your 2025 vantage point, what three pieces of advice would you give young founders that ignore valuation entirely and focus only on “how to make products truly simple”?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/28e0901d7954488db6844ef38e7bf7eb!_!10de579ca1ee078846d93a2480942a88.png?f=webp,avatars/cz.png
Guy Turner,Guy Turner,Co-Founder,Co-Founder,Coin Bureau,Coin Bureau,Alex 是 Coin Bureau 的主持人。,Presenter at Coin Bureau,Guy Turner，您在Coin Bureau担任Co-Founder期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the Co-Founder at Coin Bureau, which recent project or strategy best captures your current focus, and what insights can you share from it?",作为 Coin Bureau 的内容主理人，你每天要在噪音和信号之间做选择。你现在用什么具体标准来判断一个新叙事值得做 20 分钟深度视频，而不是 2 分钟快讯？,"As the driving force behind Coin Bureau, you constantly choose between noise and signal. What specific criteria do you now use to decide whether a new narrative deserves a 20‑minute deep‑dive video instead of a 2‑minute news bite?",你运营了多个细分频道，如果把它们看作一个“加密教育实验室”，有哪些你没想到会爆红、却意外证明用户真实需求的内容形式或系列？,"You run several niche channels; if you see them as one big “crypto education lab,” which content format or series surprised you by going viral and revealing real user demand you hadn’t anticipated?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/b1f652f9ebf34fedadc35fd0365ad37d!_!9328b6688755527d86d0dfc7835d0887.png?f=webp,avatars/guy-turner.png
Alex Svanevik,Alex Svanevik,CEO,CEO,Nansen,Nansen,Alex 是 Nansen 的首席执行官，拥有人工智能背景，在共同创立 Nansen 之前，曾作为数据科学家和管理顾问工作超过 10 年。作为 Lido Finance 和 PleasrDAO 的早期 DAO 成员，他同时担任 Pudgy Penguins 顾问，并在 Reown 董事会任职。,"Alex is CEO at Nansen. He has a background in AI, with 10+ years experience as data scientist and management consultant before co-founding Nansen in 2019. Alex is one of the initial DAO members of Lido Finance and PleasrDAO, he’s an advisor to Pudgy Penguins, and he serves on the board of Reown.",Alex Svanevik，您在Nansen担任CEO期间，哪一个项目或战略最能体现您当前的关注点？能与我们分享背后的关键洞察吗？,"As the CEO at Nansen, which recent project or strategy best captures your current focus, and what insights can you share from it?",Nansen 在 2024–2025 年大幅扩展到 AI、钱包画像等新方向。你如何在“数据可视化好看”和“信息真正可交易”之间做取舍？有没有你亲自砍掉过的功能例子？,"Nansen has expanded into AI and new wallet‑profiling features in 2024–2025. How do you trade off between “beautiful data visualizations” and “information that is actually tradeable,” and can you share a feature you personally decided to kill?",作为 Lido Finance 和 PleasrDAO 的早期 DAO 成员，你见证了多轮 DAO 热潮与冷却。你认为下一代 DAO 要真正起飞，最需要被重新设计的一个机制是什么？,"As an early DAO member of Lido Finance and PleasrDAO, you’ve seen multiple hype and cooldown cycles. For the next generation of DAOs to really take off, which single mechanism do you think most urgently needs to be redesigned?",面向Binance Blockchain Week Dubai的全球观众，您认为2025年Web3/区块链生态中最大的突破机会会出现在何处？,"For the Binance Blockchain Week Dubai audience, where do you see the biggest breakthrough opportunities in the Web3/blockchain ecosystem for 2025?",https://images-eur.cvent.com/pr53/09ea8e8dd03f4676a24755ba47394373/files/event/f9827cbe16f8478abc06f4e8b783ae54/39e088410ddb488ea28858362a2705e7!_!3bf8fee382e64fbc93f1f59d6de45c86.png?f=webp,avatars/alex-svanevik.png
