Name_ZH,Name_EN,Title_ZH,Title_EN,Company_ZH,Company_EN,Biography_ZH,Biography_EN,Interview1_ZH,Interview1_EN,Interview2_ZH,Interview2_EN,Interview3_ZH,Interview3_EN,ImageURL,LocalImage
Michael  Saylor,Michael  Saylor,Founder & Executive Chairman,Founder & Executive Chairman,Strategy,Strategy,"Michael Saylor 是 Strategy（MSTR）的执行董事长，一家他于 1989 年创立的美股上市商业智能公司，同时也是持有 499,096 枚比特币的大型机构。他还创立了 Alarm.com（ALRM），为 48 项以上专利的发明人，并著有《移动浪潮》一书。他成立了 Saylor Academy（saylor.org），这是一家为超过 200 万学生提供免费教育的非营利组织。他是比特币标准的推动者（hope.com），拥有麻省理工学院航空航天及科学史双学位。他常在 X（@saylor）和个人网站 Michael.com 分享观点。他与 Lex Fridman 的 4 小时深度访谈，系统阐述了他对比特币、通胀和货币未来的看法，在 YouTube 获得近 1100 万观看。","Michael Saylor is the Executive Chairman of Strategy (MSTR), a publicly traded business intelligence firm & holder of ₿499,096 that he founded in 1989. He is also the founder of Alarm.com (ALRM), named inventor on 48+ patents, & author of the book “The Mobile Wave”. He founded the Saylor Academy (saylor.org), a non-profit that has provided free education to over 2 million students. He is an advocate for the Bitcoin Standard (hope.com) with dual degrees from MIT in Aerospace Engineering & History of Science. He posts his views on X @saylor and his website Michael.com. His 4 hour interview with Lex Fridman summarizes his thoughts on Bitcoin, Inflation, and the Future of Money with ~11 million views on YouTube.",从 MicroStrategy 到个人资产配置，你如何向 MENA 的机构解释“把比特币作为企业金库主资产”的风险与回报平衡？,"From MicroStrategy to personal allocation, how do you explain to MENA institutions the risk–reward balance of using bitcoin as a primary treasury asset?",你如何看待中东主权资金、家族办公室在未来 3–5 年内配置比特币的节奏和路径？,How do you see Middle Eastern sovereign funds and family offices pacing their bitcoin allocation over the next 3–5 years?,面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6887b630a94348bfcae228fa_4PlAFF3JOdRPDHzObJSTKvkuTeVJvB5NwYJPPplwiiA.webp,avatars/mena-speakers/michael-saylor.webp
CZ,CZ,Founder,Founder,Binance,Binance,币安创始人。,Founder of Binance,这两年您一方面在做 Giggle Academy 等教育项目，另一方面又持续在全球各地露面演讲。站在 2025 年这个时间点，您现在最核心的使命感是什么？您更希望留给行业的长期遗产，是一个交易平台体系，还是一整套关于教育、合规与基础设施的方法论？,"Over the past two years, you’ve been building education initiatives such as Giggle Academy while also continuing to appear and speak around the world. Standing here in 2025, what would you describe as your most fundamental sense of mission now? In the long run, what legacy do you most hope to leave for this industry: a leading trading platform ecosystem, or a comprehensive playbook for education, compliance, and underlying infrastructure?",回顾过去几年监管与市场的博弈，你认为哪一个决策是比特币行业“躲过的最大风险”？,"Looking back at recent regulatory and market battles, what do you think was the biggest existential risk for bitcoin that the industry successfully avoided?",,,https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/69138f18c094c785ffbd8660_c0TEIkeM5XowLsNdtAKkQPOcKukd-xSN-5WaYE09P6A.webp,avatars/mena-speakers/cz.webp
Michael Novogratz,Michael Novogratz,CEO and Founder,CEO and Founder,Galaxy,Galaxy,Michael Novogratz 是 Galaxy Digital 的创始人兼 CEO，曾任 Fortress Investment Group LLC 的合伙人兼总裁。在加入 Fortress 之前，Novogratz 曾在高盛工作 11 年，于 1998 年晋升为合伙人。2012 至 2015 年，他曾担任纽约联储金融市场投资咨询委员会成员。Novogratz 现为 The Bail Project 主席，长期推动刑事司法改革，并参与多个公益与学术组织，包括 NYU Langone Medical Center、Princeton Varsity Club 及 Jazz Foundation of America。他毕业于普林斯顿大学经济学专业并服役于美国陆军直升机飞行员。,"Michael Novogratz is the Founder and CEO of Galaxy Digital. He was formerly a Partner and President of Fortress Investment Group LLC. Prior to Fortress, Mr. Novogratz spent 11 years at Goldman Sachs, where he was elected Partner in 1998. Mr. Novogratz served on the New York Federal Reserve’s Investment Advisory Committee on Financial Markets from 2012 – 2015. Mr. Novogratz serves as the Chairman of The Bail Project and has made criminal justice reform a focus of his family’s foundation. He also sits on the Board of Overseers at NYU Langone Medical Center and is a board member of Princeton Varsity Club and Jazz Foundation of America. Mr. Novogratz received an AB in Economics from Princeton University and served as a helicopter pilot in the US Army.",在 Galaxy 的视角下，比特币已经从“宏观对冲工具”走向“主流资产配置”，你现在最关注的风险变量是什么？,"From Galaxy’s vantage point as bitcoin moves from macro hedge to mainstream allocation, which risk variable are you watching most closely now?",面对比特币 ETF 的快速发展，你认为 MENA 的机构会以怎样的顺序从现货 ETF 走向更复杂的比特币相关产品？,"With bitcoin ETFs maturing rapidly, in what sequence do you expect MENA institutions to move from spot ETFs into more complex bitcoin-linked products?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691ca1254f7c48b0f5c14477_54DLlVI0tw5YHsVzx6f1nTRsK7xch8QARDkM95uRcMo.webp,avatars/mena-speakers/michael-novogratz.webp
H.E. Dr. Mohamed Al Kuwaiti,H.E. Dr. Mohamed Al Kuwaiti,"Head of Cyber Security, United Arab Emirates Government","Head of Cyber Security, United Arab Emirates Government",Cyber Security Council,Cyber Security Council,Mohamed Al Kuwaiti 博士是阿联酋政府网络安全负责人、UAE 网络安全委员会主席，主导国家级网络战略、韧性建设与重大创新，使阿联酋在 2024 年 ITU 全球网络安全指数排名跻身世界前列。他同时兼任国家数据中心董事总经理，并在多项国际合作中担任核心角色，包括反勒索软件倡议联席主席、OIC-CERT 副主席。Al Kuwaiti 拥有 20 余年国家安全经验，受邀在 50 多个全球峰会发言，持有美国乔治华盛顿大学计算机工程与网络安全博士学位。,"H.E. Dr. Mohamed Al Kuwaiti is the Head of Cyber Security for the UAE Government and leads the UAE Cyber Security Council. He oversees the national cybersecurity strategy, resilience programs, and major initiatives that positioned the UAE among the top-ranked countries in the ITU Global Cybersecurity Index 2024. He also serves as Managing Director of the National Data Center and plays key international roles, including Co-Chair of the Counter Ransomware Initiative and Vice Chair of OIC-CERT. Dr. Al Kuwaiti has over 20 years of experience in national security and has spoken at more than 50 global events. He holds a Ph.D. in Computer Engineering and Network Security from George Washington University.",从国家网络安全的角度看，大规模采用比特币和公链基础设施会给 UAE 带来哪些全新的攻防挑战？,"From a national cybersecurity perspective, what new offensive and defensive challenges does large-scale adoption of bitcoin and public chains pose for the UAE?",在你参与的国际合作中，关于比特币与加密犯罪的叙事有哪些被严重夸大，哪些又被严重低估？,"Across your international work, which narratives around bitcoin and crypto crime are most exaggerated, and which real risks are still underestimated?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6883c95507ab2f8549b67f3f_g7pe98-QdKpf9BpPC5_Re5PLqsRuspweuNcWW32XzCE.webp,avatars/mena-speakers/h-e-dr-mohamed-al-kuwaiti.webp
Paul Manafort,Paul Manafort,Former Campaign Manager,Former Campaign Manager,"Trump for President, 2016","Trump for President, 2016",Paul Manafort 是一名资深政治战略师和顾问，曾长期活跃在地缘政治一线并深谙政治、经济、科技的交汇。他曾担任美国总统竞选团队主席，对比特币和区块链颇有研究，主张数字资产可助力金融独立与去中心化，观点兼具传统金融知识和前瞻视角，是比特币变革潮流中的独特声音。,"Paul Manafort is a seasoned political strategist and consultant with decades of experience in navigating complex geopolitical landscapes. As a former chairman of a major U.S. presidential campaign, he has a deep understanding of the intersection between politics, economics, and emerging technologies. In recent years, Paul has taken a keen interest in the potential of Bitcoin and blockchain technology to transform the global financial system. He brings a unique perspective on the role of cryptocurrency in fostering financial independence and decentralization. Paul’s insights offer a valuable blend of traditional financial expertise and a forward-looking view on the disruptive power of digital assets, making him a compelling voice at the forefront of the Bitcoin revolution.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?","结合您在 Trump for President, 2016 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？","Based on your frontline work at Trump for President, 2016, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6883c929debfe8592c795216_sOVlT7607htPoYD4BraIcHlb2ZLdn8LsdisOeeFjAEk.webp,avatars/mena-speakers/paul-manafort.webp
Ahmed Bin Sulayem,Ahmed Bin Sulayem,Executive Chairman & CEO,Executive Chairman & CEO,DMCC,DMCC,Ahmed Bin Sulayem 是 DMCC 执行董事长兼 CEO，将该区从 2003 年的 28 家初创企业发展为全球领先的国际商务区（2025 年已超 2.5 万家公司、8 万雇员）。他推动迪拜商品贸易创新，主导 JLT 超大规模商务和住宅社区建设，并负责 DMCC 最新地产项目 Uptown Dubai。作为迪拜钻石交易所与商品交易所主席，他带领阿联酋成为第一个担任金伯利进程（KP）主席的阿拉伯国家，并多次连任。,"Ahmed Bin Sulayem is the Executive Chairman and Chief Executive Officer of DMCC and has driven its growth from a start-up of 28 member companies in 2003 to the world’s leading international business district in 2025 with over 25,000 member companies from 180 countries, employing over 80,000 people.Tasked with enhancing commodity trade flows through Dubai, DMCC has introduced to the market a number of value-added products and services under Mr Bin Sulayem’s leadership. In 2023, DMCC was named ‘Global Free Zone of the Year’ by The Financial Times fDi Magazine, for a record ninth consecutive year.Mr Bin Sulayem oversaw the exponential growth of the DMCC Free Zone master development in Jumeirah Lakes Towers (JLT), a 200-hectare business and residential community in Dubai of over 100,000 people living and working in 87 towers. Mr Bin Sulayem also oversees the development of DMCC’s latest real estate project, the Uptown Dubai district.Mr Bin Sulayem currently serves as the Chairman of the Dubai Diamond Exchange (DDE) and the Dubai Gold & Commodities Exchange (DGCX).The Kimberley Process officially appointed the United Arab Emirates (UAE) as the first and only Arab country to Chair the Kimberley Process (KP) in November 2015. Shortly after, the UAE Ministry of Economy officially appointed Mr Bin Sulayem as the UAE’s Chair of the KP for 2016. Mr Bin Sulayem was reappointed Chair of the KP for a historic second time in 2024 and has continued his leadership role with the position of Custodian Chair of the KP in 2025.CV – DMCC• 2001 – Joined DMCC• 2002 – Appointed Chief Operating Officer (COO)• 2007 – Appointed Executive Chairman• 2019 – Appointed Chief Executive Officer (CEO)",你如何看待比特币和代币化资产在迪拜商品、黄金与钻石贸易中的实际落地节奏？,"How do you see bitcoin and tokenized assets realistically integrating into Dubai’s commodities, gold, and diamond trade over the coming years?",DMCC 在吸引加密公司和比特币基础设施企业方面，过去一年中做出的哪项政策或服务创新最有效？,Which specific policy or service innovation at DMCC has proven most effective over the last year in attracting bitcoin infrastructure and crypto firms?,面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/69138e378f6085cb8a0b64ae_d15e1f6ba7c78bf695cb19a6.webp,avatars/mena-speakers/ahmed-bin-sulayem.webp
Simon Dixon,Simon Dixon,CEO & Co-Founder,CEO & Co-Founder,BnkToTheFuture.com,BnkToTheFuture.com,Simon Dixon 是资深金融专家，聚焦银行、货币改革和地缘金融，曾在投行担任股票经纪、做市商等，因家族在互联网泡沫损失惨重而转投货币变革。他是最早解读比特币制度和货币属性的投资人之一，著有《Bank to the Future》，并通过 BnkToTheFuture 平台促成了超 25 亿美金的行业投资。Simon 致力于普及比特币如何对抗央行数字货币和金融专制，被业界誉为“比特币投资银行家第一人”，其 YouTube/BTC 硬核访谈广受关注。,"Simon Dixon has always considered himself a finance geek—obsessed with banking, monetary reform and geo-financial analysis that shape our world. After building a career as an insider in investment banking—as a stockbroker, market maker, and corporate finance banker—he developed a rare understanding of how the financial system really works. But when his father lost everything in the dot-com bust, Simon left his lucrative career behind to become a monetary reformer, determined not just to expose the flaws of finance but to fix them.That mission led him to Bitcoin when it was just $3—a moment that changed everything. Unlike most early adopters who were tech enthusiasts, Simon came from finance, and he decoded what Satoshi left behind: Bitcoin was not just money, but the tool that could end the corrupt financial system, dismantle the Federal Reserve, and strip power from those who abuse it. He saw how politicians and regulators would deliberately co-opt innovation to maintain control—something he experienced first-hand when his attempts to reform the UK banking system were blocked.With that foresight, Simon gained financial freedom through Bitcoin and became one of the earliest investors in the industry’s biggest names—including Coinbase, Kraken, BitPay, Bitfinex, Blockchain.com, Circle and Robinhood. He is also the author of *Bank to the Future* (2012), the world’s first published book to ever discuss Bitcoin.Recognized by Robert Kiyosaki as “the first guy to ever talk about Bitcoin,” praised by Richard Branson for his investment platform BnkToTheFuture.com, and called by Max Keiser “the No.1 Bitcoin investment banker ever,” Simon has long been ahead of his time. Through BnkToTheFuture, he has facilitated over $2.5 billion of investments into companies that shaped the Bitcoin ecosystem.He has helped thousands become Bitcoin millionaires and billionaires—and now seeks to help millions more protect themselves, their families, and their nations from an AI-driven jobless future and the oppressive control of central bank digital currencies (CBDCs)—with Bitcoin as the tool for freedom and protection.Simon is widely recognized not only for his pioneering role in Bitcoin but also for his expertise in geo-financial analysis, money, and investing. His ability to connect Bitcoin, macroeconomics, and global financial power shifts has allowed him to anticipate trends and events years before they unfold—making him the person many influencers and analysts quietly study.Through his weekly show BitcoinHardTalk (100k+ YouTube subscribers, 200k+ followers on X), Simon helps people follow the money, self-custody their Bitcoin, and resist an oppressive financial system whose time is running out.",你很早就从“货币改革”的视角拥抱比特币，目前在哪些国家或地区看到了这套逻辑真正开始落地？,"Coming from a monetary reform background, in which countries or regions do you now see bitcoin genuinely beginning to fulfill that reform thesis?",从你在 BnkToTheFuture 的投资实践看，比特币相关公司最容易在哪个阶段犯下“传统金融式”的错误？,"From your BnkToTheFuture investing experience, at which stage do bitcoin companies most often repeat the classic mistakes of traditional finance?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6900c3bd887c880bb611ed95_6a3dbaf2a45dea3799bd678e.webp,avatars/mena-speakers/simon-dixon.webp
Abdulla Al Dhaheri,Abdulla Al Dhaheri,CEO,CEO,The Blockchain Center Abu Dhabi,The Blockchain Center Abu Dhabi,Abdulla Al Dhaheri 是阿布扎比区块链中心 CEO，主导数字资产创新并推动世界级交易所和做市商在阿布扎比分布，联动监管和主权机构，助力阿联酋在数字资产、AI 和资产代币化全球领先。Abdulla 也是数字资产基金投资人与各类基础设施项目推动者，曾为多家上市公司和全球大会提供洞见。,"Abdulla Al Dhaheri is the CEO of The Blockchain Center Abu Dhabi, leading the UAE’s flagship hub for digital asset innovation. He has played an instrumental role in bringing tier-1 global exchanges and market makers to Abu Dhabi, collaborating closely with regulators and sovereign stakeholders to build the UAE’s leadership in digital assets, AI, and tokenized finance. Abdulla previously advised multi-billion-dollar companies on public listings and digital asset adoption, and has been invited to speak at global conferences for his contributions to decentralized technologies. Today, he continues to invest strategically through The Blockchain Center Fund, scaling global digital asset ventures and sovereign-grade digital asset infrastructures from Abu Dhabi to the world.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 The Blockchain Center Abu Dhabi 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at The Blockchain Center Abu Dhabi, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6883c8e0c5e7a5122094b645_WSwuHtTtu9z8-Zn2tCk_aUGu4uZ7K-feNMzkQC95lno.webp,avatars/mena-speakers/abdulla-al-dhaheri.webp
Saifedean Ammous,Saifedean Ammous,Author,Author,Saifedean.com,Saifedean.com,Saifedean 是一位经济学家，《比特币标准》畅销书作者，同时著有《法币标准》、《黄金标准》和《经济学原理》等著作。他通过线上平台 saifedean.com 授课，并主持播客节目 The Bitcoin Standard Podcast，系统讲解货币史、通胀机制与比特币在全球金融体系中的角色。,"Saifedean is an economist and the author of the best-selling book, The Bitcoin Standard. as well as The Fiat Standard, The Gold Standard, and Principles of Economics. He teaches economics on his online learning platform saifedean.com and hosts The Bitcoin Standard Podcast.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 Saifedean.com 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at Saifedean.com, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/691f6d7fa920a9a1abc0c2d5_597bc93262550160e15fefb3.webp,avatars/mena-speakers/saifedean-ammous.webp
John Koudounis,John Koudounis,President and CEO,President and CEO,Calamos Investments,Calamos Investments,John Koudounis 是 Calamos Investments 的总裁兼 CEO，该公司是美国第三大流动性另类资产管理机构。在他 2016 年上任以来，公司管理资产规模增至 460 多亿美元。他此前曾担任美洲区瑞穗证券总裁兼 CEO，显著扩充资本市场团队并提升盈利能力与客户基础。他也以推出全球首批带下行保护结构的比特币 ETF 而闻名，并长期活跃于 CNBC、Fox Business 与彭博等媒体及多个公益组织。,"John Koudounis serves as the President and CEO of Calamos Investments, the third largest liquid alternatives asset manager in the US. Under his leadership, the firm’s AUM has surged to over $46 billion, nearly tripling since he took the helm in 2016. Notably, he has overseen the launch of innovative products, including the world's first suite of downside-protected Bitcoin ETFs.With over 37 years of experience in the financial services sector, he previously held the position of President and CEO at Mizuho Securities in the Americas, where he significantly expanded the firm's capital markets teams and enhanced profitability, client base, and product diversity, elevating Mizuho to a top-tier global investment bank.In addition to his corporate responsibilities, Koudounis is recognized for his thought leadership, frequently speaking at global conferences and platforms such as CNBC, Fox Business, and Bloomberg TV. Koudounis is committed to philanthropy and is involved with several organizations including the Concordia Leadership Council, the SEAL Future Foundation, The Hellenic Initiative, and the Ecumenical Bartholomew Foundation.He holds a degree in International Diplomacy & Foreign Affairs and Economics from Brown University.",本次 Bitcoin MENA 之行，您最希望向中东和全球比特币参与者传递的一个核心观点是什么？,"At Bitcoin MENA, what is the single core message you most want to share with bitcoin builders and investors across the region and globally?",结合您在 Calamos Investments 的一线经验，过去一年中哪一个具体事件最改变您对比特币或数字资产未来的判断？,"Based on your frontline work at Calamos Investments, which concrete event in the last year most changed your outlook on the future of bitcoin or digital assets?",面向 Bitcoin MENA 2025 的观众，您认为未来三年比特币在中东地区最具突破性的应用会出现在何处？,"For the Bitcoin MENA 2025 audience, where do you see the most transformative applications of bitcoin emerging across the Middle East over the next three years?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6920ad6a77208e786f90fb41_7p7_usM5fYNHy6XgsxWJSbaNQa_w0AVzoQGs0CuFHyc.webp,avatars/mena-speakers/john-koudounis.webp
