Name_ZH,Name_EN,Title_ZH,Title_EN,Company_ZH,Company_EN,Biography_ZH,Biography_EN,Interview1_ZH,Interview1_EN,Interview2_ZH,Interview2_EN,Interview3_ZH,Interview3_EN,ImageURL,LocalImage
Celo,Celo,冠名赞助商,Title Sponsor,Celo,Celo,Celo 是面向现实世界打造的区块链，专注普惠金融和移动优先体验。,Celo is the blockchain built for the real world.,今年 Celo 把重心从“移动优先支付”进一步扩展到现实世界资产和公共产品资助上，哪一个最新落地的案例最能说明这一转向？,This year Celo is expanding from “mobile-first payments” toward real-world assets and public goods funding. Which recent live deployment best illustrates this shift?,在以太坊 L2 与多条稳定币公链竞争的环境下，Celo 如何用技术路线或生态激励，继续吸引开发者构建长期项目？,"With Ethereum L2s and stablecoin-focused chains competing for attention, how is Celo using its technical roadmap or ecosystem incentives to keep builders committed long term?",展望 2025 年，Celo 计划如何与 Binance 生态或更广泛的 Web3 市场展开新的合作？,"Looking ahead to 2025, how will Celo collaborate with the Binance ecosystem or the broader Web3 market in new ways?",https://custom-eur.cvent.com/09EA8E8DD03F4676A24755BA47394373/pix/d2eefb6bc91c4add8253d5a1140d1f8f.png,avatars/sponsors/celo.png
NEXPACE,NEXPACE,白金+赞助商,Platinum+ Sponsor,NEXPACE,NEXPACE,官方简介待补充，欢迎完善。,Description coming soon.,NEXPACE 今年在交易基础设施或做市工具上推出了哪些关键功能，能显著改变机构参与深度和效率？,Which trading infrastructure or market-making features has NEXPACE launched this year that materially change institutional participation and efficiency?,面对合规交易所和 DeFi 的双重竞争，你们目前在哪个市场或产品线上看到了最出乎意料的增长数据？,"Amid competition from both regulated exchanges and DeFi, in which market or product line have you seen the most surprising recent growth at NEXPACE?",展望 2025 年，NEXPACE 计划如何与 Binance 生态或更广泛的 Web3 市场展开新的合作？,"Looking ahead to 2025, how will NEXPACE collaborate with the Binance ecosystem or the broader Web3 market in new ways?",https://custom-eur.cvent.com/09EA8E8DD03F4676A24755BA47394373/pix/cdf2f04f704b47fab0d6700bf378aef9.png,avatars/sponsors/nexpace.png
SOLAYER,SOLAYER,白金+赞助商,Platinum+ Sponsor,SOLAYER,SOLAYER,Solayer 借助硬件加速的高性能 SVM 区块链，推动垂直整合的现代金融基础设施。,"Solayer the hardware-accelerated, high performance SVM blockchain powering the vertically integrated modern finance stack.",Solayer 主打硬件加速的高性能 SVM，你能分享一个最近实测数据，证明它在真实场景下优于传统公链或汇聚层吗？,Solayer focuses on hardware-accelerated high-performance SVM. Can you share a recent benchmark that shows a real-world edge over traditional L1s or rollups?,在“链上订单簿”和“统一结算层”这两个赛道中，Solayer 目前最期待打透的第一个细分场景是什么？,"Between on-chain order books and unified settlement layers, which specific use case is Solayer most intent on cracking first?",展望 2025 年，SOLAYER 计划如何与 Binance 生态或更广泛的 Web3 市场展开新的合作？,"Looking ahead to 2025, how will SOLAYER collaborate with the Binance ecosystem or the broader Web3 market in new ways?",https://custom-eur.cvent.com/09EA8E8DD03F4676A24755BA47394373/pix/d818819abe634aa282a26dbc399f2259.png,avatars/sponsors/solayer.png
ACE,ACE,白金赞助商,Platinum Sponsor,ACE,ACE,官方简介待补充，欢迎完善。,Description coming soon.,ACE 在流动性和产品设计上今年做了哪些调整，让专业交易者更愿意迁移或增加使用时长？,What concrete changes in liquidity and product design has ACE made this year to convince pro traders to move over or increase their activity?,在合规压力和链上透明度不断上升的背景下，ACE 如何用真实的数据来证明自身的风控能力？,"With regulatory scrutiny and on-chain transparency rising, how is ACE using hard data to demonstrate its risk controls in practice?",展望 2025 年，ACE 计划如何与 Binance 生态或更广泛的 Web3 市场展开新的合作？,"Looking ahead to 2025, how will ACE collaborate with the Binance ecosystem or the broader Web3 market in new ways?",https://custom-eur.cvent.com/09EA8E8DD03F4676A24755BA47394373/pix/dd989a2f1ce44fb1b47ecbda7ba32f84.png,avatars/sponsors/ace.png
Aster,Aster,白金赞助商,Platinum Sponsor,Aster,Aster,Aster 是新一代去中心化交易所，提供永续与现货的一站式链上交易体验。,"The next-generation decentralized exchange offering both Perpetual & Spot trading, designed as a one-stop onchain venue for global crypto traders.",Aster 把永续和现货整合在一个去中心化平台，你们最近一次大的系统升级解决了什么关键性能或安全瓶颈？,"As a DEX unifying perpetual and spot markets, what key performance or security bottleneck did Aster’s latest major upgrade resolve?",就用户结构来看，Aster 当前的核心用户更多来自 CEX 迁移还是原生 DeFi 玩家？你们观察到哪一个行为变化最明显？,"Looking at your user mix, are Aster’s core traders primarily CEX migrants or native DeFi users, and what behavioral shift stands out most between these groups?",展望 2025 年，Aster 计划如何与 Binance 生态或更广泛的 Web3 市场展开新的合作？,"Looking ahead to 2025, how will Aster collaborate with the Binance ecosystem or the broader Web3 market in new ways?",https://custom-eur.cvent.com/09EA8E8DD03F4676A24755BA47394373/pix/454e0799a9874d59839e0ba28474fab3.png,avatars/sponsors/aster.png
Circle,Circle,白金赞助商,Platinum Sponsor,Circle,Circle,Circle 依托 USDC 与 EURC 打造互联网原生的稳定币支付系统，让全球资金流动更顺畅。,"Circle is building a new internet financial system for stablecoin payments, powered by USDC and EURC, making money movement seamless.",USDC 和 EURC 今年在不同司法辖区陆续获得新类型的牌照或监管框架支持，你认为哪一条最具标志性意义？,USDC and EURC have entered new licensing or regulatory frameworks across jurisdictions this year. Which development do you see as the most defining so far?,在稳定币逐渐进入支付和国境间清算的过程中，Circle 近期与传统金融机构达成的哪个合作最能体现这种“新旧结合”？,"As stablecoins move deeper into payments and cross-border settlement, which recent partnership with a traditional financial institution best showcases that convergence for Circle?",展望 2025 年，Circle 计划如何与 Binance 生态或更广泛的 Web3 市场展开新的合作？,"Looking ahead to 2025, how will Circle collaborate with the Binance ecosystem or the broader Web3 market in new ways?",https://custom-eur.cvent.com/09EA8E8DD03F4676A24755BA47394373/pix/bcf5d58c6a464eaab6d4b7235be7f867.png,avatars/sponsors/circle.png
Lumia,Lumia,白金赞助商,Platinum Sponsor,Lumia,Lumia,Lumia 是覆盖资产全生命周期的 RWA 公链，聚焦现实世界资产上链。,The Only Full Cycle RWA Chain.,Lumia 把自己定位为“全生命周期 RWA 公链”，目前在真实资产接入或二级流动性上，哪一个品类的进展最快？,"As “the full-cycle RWA chain,” in which asset category has Lumia seen the fastest real-world onboarding or secondary-market traction so far?",在合规要求日益严格的环境中，你们是如何设计发行与清算流程，让机构敢于把更复杂的资产结构搬到 Lumia 上？,"Under tightening regulations, how are you structuring issuance and settlement so institutions are comfortable bringing more complex products onto Lumia?",展望 2025 年，Lumia 计划如何与 Binance 生态或更广泛的 Web3 市场展开新的合作？,"Looking ahead to 2025, how will Lumia collaborate with the Binance ecosystem or the broader Web3 market in new ways?",https://custom-eur.cvent.com/09EA8E8DD03F4676A24755BA47394373/pix/ea4d8e3aba49454385c7766c8f60ec80.png,avatars/sponsors/lumia.png
Solana,Solana,白金赞助商,Platinum Sponsor,Solana,Solana,Solana 以高性能网络驱动互联网资本市场、支付与多样加密应用。,"The high performance network powering internet capital markets, payments, and crypto applications.",Solana 在过去一年中经历了从 DeFi 复苏到 meme 与 RWA 等多轮叙事，你认为哪一个最新赛道最有希望沉淀为“长期基本面”？,"Over the last year Solana has cycled through DeFi resurgence, memes, RWAs, and more. Which recent narrative do you think has real potential to become a long-term fundamental pillar?",就今年的生态观察，Solana 在开发者体验或成本结构上做了哪一项具体优化，让新团队更容易选择你们作为第一主链？,"From this year’s ecosystem perspective, what concrete change in developer experience or cost structure has made Solana a more obvious first choice for new teams?",展望 2025 年，Solana 计划如何与 Binance 生态或更广泛的 Web3 市场展开新的合作？,"Looking ahead to 2025, how will Solana collaborate with the Binance ecosystem or the broader Web3 market in new ways?",https://custom-eur.cvent.com/09EA8E8DD03F4676A24755BA47394373/pix/721f62fa32c247a3a779aa32cece1726.png,avatars/sponsors/solana.png
AWS,AWS,黄金+赞助商,Gold+ Sponsor,AWS,AWS,官方简介待补充，欢迎完善。,Description coming soon.,过去一年，AWS 在 Web3 与区块链客户的云上架构中，看到了哪些明显不同于传统互联网客户的新模式？,"In the last year, what architectural patterns in Web3 and blockchain workloads on AWS have looked materially different from traditional internet clients?",在“去中心化”与“合规云基础设施”之间，AWS 如何帮助公链或交易平台找到一个既现实又可扩展的平衡点？,"Between decentralization and compliant cloud infrastructure, how is AWS helping chains or exchanges strike a balance that’s both realistic and scalable?",展望 2025 年，AWS 计划如何与 Binance 生态或更广泛的 Web3 市场展开新的合作？,"Looking ahead to 2025, how will AWS collaborate with the Binance ecosystem or the broader Web3 market in new ways?",https://custom-eur.cvent.com/09EA8E8DD03F4676A24755BA47394373/pix/ef06f8d2271e43159c5aeeaa9ee44669.jpg,avatars/sponsors/aws.jpg
Babylon,Babylon,黄金+赞助商,Gold+ Sponsor,Babylon,Babylon,官方简介待补充，欢迎完善。,Description coming soon.,Babylon 今年在“比特币安全”与 PoS 生态之间搭桥，你能分享一个已经上线或即将落地的合作示例吗？,Babylon is building bridges between Bitcoin security and PoS ecosystems. Can you share a concrete collaboration that has shipped or is about to go live?,在当前的 RWA 和收益率竞争中，Babylon 希望先抢占的是哪一个细分用户群体：协议、机构还是高净值个人？,"In today’s competitive RWA and yield landscape, which specific user segment—protocols, institutions, or high-net-worth individuals—is Babylon prioritizing first?",展望 2025 年，Babylon 计划如何与 Binance 生态或更广泛的 Web3 市场展开新的合作？,"Looking ahead to 2025, how will Babylon collaborate with the Binance ecosystem or the broader Web3 market in new ways?",https://custom-eur.cvent.com/09EA8E8DD03F4676A24755BA47394373/pix/d6c139f0ab0840cf8f595c9ae7ea0147.png,avatars/sponsors/babylon.png
