Name_ZH,Name_EN,Title_ZH,Title_EN,Company_ZH,Company_EN,Biography_ZH,Biography_EN,Interview1_ZH,Interview1_EN,Interview2_ZH,Interview2_EN,Interview3_ZH,Interview3_EN,ImageURL,LocalImage
Title Block - Antalpha,Antalpha,Title Block,Title Block,Antalpha,Antalpha,"Antalpha (NASDAQ: ANTA) is a leading fintech company specializing in providing financing, technology and risk management solutions to institutions in the digital asset industry. Antalpha offers Bitcoin supply chain and pledge loans through the Antalpha Prime technology platform, which allows customers to originate and manage their digital assets loans, as well as monitor collateral positions with near real-time data.","Antalpha (NASDAQ: ANTA) is a leading fintech company specializing in providing financing, technology and risk management solutions to institutions in the digital asset industry. Antalpha offers Bitcoin supply chain and pledge loans through the Antalpha Prime technology platform, which allows customers to originate and manage their digital assets loans, as well as monitor collateral positions with near real-time data.",作为 Title Block 的 Antalpha，你们今年在 Bitcoin MENA 上最希望让行业记住的一项产品或合作是什么？,"As a Title Block at Bitcoin MENA, which product or partnership does Antalpha most want the industry to remember this year?",Antalpha 目前在中东和北非市场服务的核心客户是谁？你们看到他们在比特币或链上基础设施需求上出现了哪些新的变化？,"Who are Antalpha's core clients in the Middle East and North Africa today, and what new needs are you seeing from them around bitcoin or on-chain infrastructure?",展望未来三年，Antalpha 希望在 Bitcoin MENA 社区中扮演怎样的角色？,"Over the next three years, what role does Antalpha hope to play within the Bitcoin MENA community?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/69175e995fb1c8f117c90ed0_logo_v_color-3x.webp,avatars/mena-sponsors/antalpha.webp
Moon Block - Treasury,Treasury,Moon Block,Moon Block,Treasury,Treasury,"Treasury is Europe’s pioneering euro-denominated Bitcoin treasury company, bridging traditional finance with the future of digital capital. With Bitcoin as the catalyst and benchmark of digital gold, we provide a transparent, liquid, and institutional-grade vehicle for Bitcoin structure.","Treasury is Europe’s pioneering euro-denominated Bitcoin treasury company, bridging traditional finance with the future of digital capital. With Bitcoin as the catalyst and benchmark of digital gold, we provide a transparent, liquid, and institutional-grade vehicle for Bitcoin structure.",作为 Moon Block 的 Treasury，你们今年在 Bitcoin MENA 上最希望让行业记住的一项产品或合作是什么？,"As a Moon Block at Bitcoin MENA, which product or partnership does Treasury most want the industry to remember this year?",Treasury 目前在中东和北非市场服务的核心客户是谁？你们看到他们在比特币或链上基础设施需求上出现了哪些新的变化？,"Who are Treasury's core clients in the Middle East and North Africa today, and what new needs are you seeing from them around bitcoin or on-chain infrastructure?",展望未来三年，Treasury 希望在 Bitcoin MENA 社区中扮演怎样的角色？,"Over the next three years, what role does Treasury hope to play within the Bitcoin MENA community?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/690a10b7cb0d4a9cf44f64a6_treasury_logo.webp,avatars/mena-sponsors/treasury.webp
Moon Block - Crypto.com,Crypto.com,Moon Block,Moon Block,Crypto.com,Crypto.com,"Founded in 2016, Crypto.com is trusted by more than 150 million users worldwide and is the industry leader in regulatory compliance, security and privacy. Our vision is simple: Cryptocurrency in Every Wallet™. Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation.Crypto.com is now building the most comprehensive financial technology destination - with products and services ranging from crypto, to equities, to cards and more. It has created one of the first digital commerce ecosystems, integrating payments, trading, and financial services.Today, Crypto.com stands as the world's leading cryptocurrency platform for licenses, registrations, and security certifications, and is the most recognized brand in crypto, with thrilling, never-been-done before partnerships and activations.Learn more at https://crypto.com.","Founded in 2016, Crypto.com is trusted by more than 150 million users worldwide and is the industry leader in regulatory compliance, security and privacy. Our vision is simple: Cryptocurrency in Every Wallet™. Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation.Crypto.com is now building the most comprehensive financial technology destination - with products and services ranging from crypto, to equities, to cards and more. It has created one of the first digital commerce ecosystems, integrating payments, trading, and financial services.Today, Crypto.com stands as the world's leading cryptocurrency platform for licenses, registrations, and security certifications, and is the most recognized brand in crypto, with thrilling, never-been-done before partnerships and activations.Learn more at https://crypto.com.",作为 Moon Block 的 Crypto.com，你们今年在 Bitcoin MENA 上最希望让行业记住的一项产品或合作是什么？,"As a Moon Block at Bitcoin MENA, which product or partnership does Crypto.com most want the industry to remember this year?",Crypto.com 目前在中东和北非市场服务的核心客户是谁？你们看到他们在比特币或链上基础设施需求上出现了哪些新的变化？,"Who are Crypto.com's core clients in the Middle East and North Africa today, and what new needs are you seeing from them around bitcoin or on-chain infrastructure?",展望未来三年，Crypto.com 希望在 Bitcoin MENA 社区中扮演怎样的角色？,"Over the next three years, what role does Crypto.com hope to play within the Bitcoin MENA community?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e830eb0d143aa1d7006b98_crypto-com-reciAqxgD89YeZOvP.png,avatars/mena-sponsors/crypto-com.png
Moon Block - Exodus,Exodus,Moon Block,Moon Block,Exodus,Exodus,"Exodus empowers individuals to take control of their lives in a digital world with secure, user-friendly crypto software. Since 2015, Exodus has made digital assets accessible through self-custodial wallets that put users in full control of their funds, enabling seamless swaps, buys, and sells. For businesses, Exodus offers Passkeys Wallet and XO Swap, leading solutions for embedded crypto wallets and swap aggregation. Committed to accessible and secure finance, Exodus is shaping the future of digital ownership.","Exodus empowers individuals to take control of their lives in a digital world with secure, user-friendly crypto software. Since 2015, Exodus has made digital assets accessible through self-custodial wallets that put users in full control of their funds, enabling seamless swaps, buys, and sells. For businesses, Exodus offers Passkeys Wallet and XO Swap, leading solutions for embedded crypto wallets and swap aggregation. Committed to accessible and secure finance, Exodus is shaping the future of digital ownership.",作为 Moon Block 的 Exodus，你们今年在 Bitcoin MENA 上最希望让行业记住的一项产品或合作是什么？,"As a Moon Block at Bitcoin MENA, which product or partnership does Exodus most want the industry to remember this year?",Exodus 目前在中东和北非市场服务的核心客户是谁？你们看到他们在比特币或链上基础设施需求上出现了哪些新的变化？,"Who are Exodus's core clients in the Middle East and North Africa today, and what new needs are you seeing from them around bitcoin or on-chain infrastructure?",展望未来三年，Exodus 希望在 Bitcoin MENA 社区中扮演怎样的角色？,"Over the next three years, what role does Exodus hope to play within the Bitcoin MENA community?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e7e27d3a235342f9ddab68_exodus-rec5Hn48UdVBRaeWM_EQpXgbQuJ.webp,avatars/mena-sponsors/exodus.webp
Moon Block - BITMAIN,BITMAIN,Moon Block,Moon Block,BITMAIN,BITMAIN,"Established in 2013, BITMAIN is the world's leading manufacturer of cryptocurrency mining servers.The company's ANTMINER product has long maintained a leading position within the industry in terms of technical strength and market status. With cutting-edge technology in energy efficiency, the company offers advanced computational infrastructure and solutions to the global blockchain network.","Established in 2013, BITMAIN is the world's leading manufacturer of cryptocurrency mining servers.The company's ANTMINER product has long maintained a leading position within the industry in terms of technical strength and market status. With cutting-edge technology in energy efficiency, the company offers advanced computational infrastructure and solutions to the global blockchain network.",作为 Moon Block 的 BITMAIN，你们今年在 Bitcoin MENA 上最希望让行业记住的一项产品或合作是什么？,"As a Moon Block at Bitcoin MENA, which product or partnership does BITMAIN most want the industry to remember this year?",BITMAIN 目前在中东和北非市场服务的核心客户是谁？你们看到他们在比特币或链上基础设施需求上出现了哪些新的变化？,"Who are BITMAIN's core clients in the Middle East and North Africa today, and what new needs are you seeing from them around bitcoin or on-chain infrastructure?",展望未来三年，BITMAIN 希望在 Bitcoin MENA 社区中扮演怎样的角色？,"Over the next three years, what role does BITMAIN hope to play within the Bitcoin MENA community?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e7e27d3a235342f9ddab71_bitmain-reclQwVoqWj89ELLw.webp,avatars/mena-sponsors/bitmain.webp
Moon Block - Metaplanet,Metaplanet,Moon Block,Moon Block,Metaplanet,Metaplanet,"Metaplanet Inc. (TSE Standard 3350) is a publicly traded Bitcoin Treasury Company listed on the Tokyo Stock Exchange, pioneering the adoption of Bitcoin as a corporate treasury reserve asset in Japan. Metaplanet aims to enhance shareholder value through ongoing Bitcoin accumulation.","Metaplanet Inc. (TSE Standard 3350) is a publicly traded Bitcoin Treasury Company listed on the Tokyo Stock Exchange, pioneering the adoption of Bitcoin as a corporate treasury reserve asset in Japan. Metaplanet aims to enhance shareholder value through ongoing Bitcoin accumulation.",作为 Moon Block 的 Metaplanet，你们今年在 Bitcoin MENA 上最希望让行业记住的一项产品或合作是什么？,"As a Moon Block at Bitcoin MENA, which product or partnership does Metaplanet most want the industry to remember this year?",Metaplanet 目前在中东和北非市场服务的核心客户是谁？你们看到他们在比特币或链上基础设施需求上出现了哪些新的变化？,"Who are Metaplanet's core clients in the Middle East and North Africa today, and what new needs are you seeing from them around bitcoin or on-chain infrastructure?",展望未来三年，Metaplanet 希望在 Bitcoin MENA 社区中扮演怎样的角色？,"Over the next three years, what role does Metaplanet hope to play within the Bitcoin MENA community?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e7e27d3a235342f9ddab6e_metaplanet-reckt09nI01NMhnYZ.webp,avatars/mena-sponsors/metaplanet.webp
Moon Block - Mining Grid,Mining Grid,Moon Block,Moon Block,Mining Grid,Mining Grid,"Mining Grid is dedicated to providing solutions designed to simplify and scale mining efforts for the Bitcoin enthusiast. Our flagship platform, Mining Race is a user-friendly mobile application that offers an innovative, community-driven approach to BTC mining. Focused on speed and simplicity, Mining Race aims to bring Bitcoin mining to users worldwide, helping them achieve high-performance results seamlessly.​Youtube","Mining Grid is dedicated to providing solutions designed to simplify and scale mining efforts for the Bitcoin enthusiast. Our flagship platform, Mining Race is a user-friendly mobile application that offers an innovative, community-driven approach to BTC mining. Focused on speed and simplicity, Mining Race aims to bring Bitcoin mining to users worldwide, helping them achieve high-performance results seamlessly.​Youtube",作为 Moon Block 的 Mining Grid，你们今年在 Bitcoin MENA 上最希望让行业记住的一项产品或合作是什么？,"As a Moon Block at Bitcoin MENA, which product or partnership does Mining Grid most want the industry to remember this year?",Mining Grid 目前在中东和北非市场服务的核心客户是谁？你们看到他们在比特币或链上基础设施需求上出现了哪些新的变化？,"Who are Mining Grid's core clients in the Middle East and North Africa today, and what new needs are you seeing from them around bitcoin or on-chain infrastructure?",展望未来三年，Mining Grid 希望在 Bitcoin MENA 社区中扮演怎样的角色？,"Over the next three years, what role does Mining Grid hope to play within the Bitcoin MENA community?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/68e7e29ffb2d67aa36969162_mining-grid-reczuzH3B894XCNyT.webp,avatars/mena-sponsors/mining-grid.webp
3 Block - Nakamoto,Nakamoto,3 Block,3 Block,Nakamoto,Nakamoto,Nakamoto is a Bitcoin treasury and financial services company that aims to catalyze global Bitcoin adoption through capital markets. Nakamoto is designed to advance and sustain the long-term securitization of Bitcoin and its role as a global reserve asset.,Nakamoto is a Bitcoin treasury and financial services company that aims to catalyze global Bitcoin adoption through capital markets. Nakamoto is designed to advance and sustain the long-term securitization of Bitcoin and its role as a global reserve asset.,作为 3 Block 的 Nakamoto，你们今年在 Bitcoin MENA 上最希望让行业记住的一项产品或合作是什么？,"As a 3 Block at Bitcoin MENA, which product or partnership does Nakamoto most want the industry to remember this year?",Nakamoto 目前在中东和北非市场服务的核心客户是谁？你们看到他们在比特币或链上基础设施需求上出现了哪些新的变化？,"Who are Nakamoto's core clients in the Middle East and North Africa today, and what new needs are you seeing from them around bitcoin or on-chain infrastructure?",展望未来三年，Nakamoto 希望在 Bitcoin MENA 社区中扮演怎样的角色？,"Over the next three years, what role does Nakamoto hope to play within the Bitcoin MENA community?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6929aac7b66e0427a158d0bc_nakamoto-wordmark_green.webp,avatars/mena-sponsors/nakamoto.webp
2 Block - The Blockchain Center Abu Dhabi,The Blockchain Center Abu Dhabi,2 Block,2 Block,The Blockchain Center Abu Dhabi,The Blockchain Center Abu Dhabi,"The Blockchain Center in Abu Dhabi is the leading hub for innovation, education, and collaboration. It drives blockchain adoption through strategic partnerships, venture funding, and cutting-edge research. The Blockchain Center supports startups, enterprises, and regulators in building a global Web3 ecosystem, solidifying it’s global position as a leader in blockchain and emerging technologies.​‍","The Blockchain Center in Abu Dhabi is the leading hub for innovation, education, and collaboration. It drives blockchain adoption through strategic partnerships, venture funding, and cutting-edge research. The Blockchain Center supports startups, enterprises, and regulators in building a global Web3 ecosystem, solidifying it’s global position as a leader in blockchain and emerging technologies.​‍",作为 2 Block 的 The Blockchain Center Abu Dhabi，你们今年在 Bitcoin MENA 上最希望让行业记住的一项产品或合作是什么？,"As a 2 Block at Bitcoin MENA, which product or partnership does The Blockchain Center Abu Dhabi most want the industry to remember this year?",The Blockchain Center Abu Dhabi 目前在中东和北非市场服务的核心客户是谁？你们看到他们在比特币或链上基础设施需求上出现了哪些新的变化？,"Who are The Blockchain Center Abu Dhabi's core clients in the Middle East and North Africa today, and what new needs are you seeing from them around bitcoin or on-chain infrastructure?",展望未来三年，The Blockchain Center Abu Dhabi 希望在 Bitcoin MENA 社区中扮演怎样的角色？,"Over the next three years, what role does The Blockchain Center Abu Dhabi hope to play within the Bitcoin MENA community?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/69247eadd03a959abdddf0fe_6751c108c3fc1077bb79597b_tbcad-darktext-dana-abusalem-_2_.webp,avatars/mena-sponsors/the-blockchain-center-abu-dhabi.webp
2 Block - Calamos,Calamos,2 Block,2 Block,Calamos,Calamos,"Our history traces back to the challenging markets of the 1970s, when John P. Calamos, Sr. began his investment career using convertible securities to help clients build wealth and manage risk. The hallmarks of those early days—innovation, risk management and client focus—continue to define our organization today. Our investment solutions include alternative, equity, sustainable, multi-asset, fixed income and convertible strategies.We view our success and longevity as a reflection of our ability to meet the demands of investors through long-term performance, organic growth and strategic acquisition. Through that lens, we are honored that our assets under management have nearly doubled under the leadership of our President and Chief Executive Officer John Koudounis. Under his leadership, we have also expanded our presence in New York and Chicago, grown our wealth management capabilities, and established ourselves as a leading liquid alternatives provider, the third largest in the United States.Headquartered in Naperville, Illinois, Calamos Investments has offices in Chicago, New York, San Francisco, Milwaukee, Portland, and the Miami area.‍","Our history traces back to the challenging markets of the 1970s, when John P. Calamos, Sr. began his investment career using convertible securities to help clients build wealth and manage risk. The hallmarks of those early days—innovation, risk management and client focus—continue to define our organization today. Our investment solutions include alternative, equity, sustainable, multi-asset, fixed income and convertible strategies.We view our success and longevity as a reflection of our ability to meet the demands of investors through long-term performance, organic growth and strategic acquisition. Through that lens, we are honored that our assets under management have nearly doubled under the leadership of our President and Chief Executive Officer John Koudounis. Under his leadership, we have also expanded our presence in New York and Chicago, grown our wealth management capabilities, and established ourselves as a leading liquid alternatives provider, the third largest in the United States.Headquartered in Naperville, Illinois, Calamos Investments has offices in Chicago, New York, San Francisco, Milwaukee, Portland, and the Miami area.‍",作为 2 Block 的 Calamos，你们今年在 Bitcoin MENA 上最希望让行业记住的一项产品或合作是什么？,"As a 2 Block at Bitcoin MENA, which product or partnership does Calamos most want the industry to remember this year?",Calamos 目前在中东和北非市场服务的核心客户是谁？你们看到他们在比特币或链上基础设施需求上出现了哪些新的变化？,"Who are Calamos's core clients in the Middle East and North Africa today, and what new needs are you seeing from them around bitcoin or on-chain infrastructure?",展望未来三年，Calamos 希望在 Bitcoin MENA 社区中扮演怎样的角色？,"Over the next three years, what role does Calamos hope to play within the Bitcoin MENA community?",https://cdn.prod.website-files.com/687f979126432c8ce843e6d7/6920b9ce1430f4534f5e0a55_682b443047b9999cb156ce69_image001-20-1.webp,avatars/mena-sponsors/calamos.webp
